participant_id,sample_no,text,label_id,label_name
1,11,"Its been quite strange and a bit worrying recently because I keep receiving a lot of spam messages on my phone, and some of them are completely meaningless or look suspicious. I have no idea how these people managed to get my personal information or phone number, which makes me feel quite uncomfortable and a bit unsafe. I already tried contacting my mobile provider, but they told me they dont really have a way to fully stop these messages. Now Im not sure what else I can do, and its starting to bother me more than I expected.",4,fearful
1,12,"I tried to follow a recipe step by step today and made sure I did exactly what it said, without skipping anything or changing the ingredients. However, the final result looked completely different from what it was supposed to look like, and that was already quite disappointing. On top of that, the taste was really not good at all, which made me feel even worse about it. Im starting to feel like I just dont have any natural talent for cooking, even though I genuinely want to cook more often to save money instead of eating out all the time.",5,disgust
1,13,"I went to the park today, and it really felt like spring is slowly arriving, which made the whole experience very enjoyable. The weather was nice and fresh, and I noticed some flowers that I didnt recognize, which made me curious about them. I also saw a few birds around, which added to the peaceful atmosphere. Walking in nature like this always helps me feel calm and relaxed, and its something I really enjoy doing when I have time.",7,calm
1,14,"I met up with an old friend today, and even though we hadnt seen each other for a long time, it felt surprisingly natural and comfortable. She is still very much the same person as she was back in high school, which made me feel a sense of familiarity. We spent quite a while talking in a coffee shop, catching up on what weve both been doing. I genuinely had a really good time, and it reminded me how valuable long-term friendships can be.",1,happy
1,15,"I just booked the flights today, and we are finally going to Tokyo for the holiday, which makes me feel incredibly excited. I honestly cant stop smiling because Ive been looking forward to this trip for such a long time. I really want to make this experience as special and memorable as possible, especially since its meant to be a surprise. I was wondering if you could help me find a sushi place that isnt too touristy, so we can have a more authentic and meaningful experience there.",1,happy
1,16,"I have a final interview coming up tomorrow for a Director-level role, and I really want to make sure I prepare for it as thoroughly as possible. I would like you to act as a strict and direct hiring manager who doesnt give easy questions, and instead challenges me properly. Could you ask me three difficult questions about my leadership style, and then provide honest and critical feedback on my answers so I can improve before the actual interview?",4,fearful
1,17,"I just realized that I forgot to actually submit my assignment on the platform, even though I had already completed everything and uploaded all the required files. This course is extremely important to me, and the final grade will have a big impact on my overall results. Now Im feeling quite stressed and worried because I dont know if there is still a chance to fix this situation. Im not sure what the best next step is, and I really dont want to lose marks because of such a small mistake.",4,fearful
1,18,"I just found out that my roommate used my pan and plates without asking me for permission first, and what made it worse is that she didnt even wash them afterwards. I honestly dont understand how someone can use other peoples things and then just leave everything dirty, expecting someone else to clean it up. It makes me feel quite annoyed and also a bit uncomfortable living in the same space like this. Im not sure how to bring this up without causing conflict.",5,disgust
1,19,"I just received my university results, and I managed to pass all of my modules, including the one that I found particularly difficult and stressful. During the exam, I remember feeling very uncomfortable and not confident at all about my answers, so I really didnt expect this outcome. Now that I see the results, I feel a huge sense of relief and also a bit of disbelief that I actually made it through successfully.",6,surprise
1,20,"I just found out that I wont have any classes next week, which makes me feel really excited and relaxed at the same time. I want to take this opportunity to go outside and explore somewhere new instead of staying at home. Since I only have one day available, I was wondering if you could recommend some places that are possible to visit within a day trip. Im really looking forward to making the most of this short break.",7,calm
1,21,"Can you help me look at the different requirements for majors in these various schools and let me know which books they usually study in class? I also need you to check what kind of exams I need to take to get the graduation certificates from those schools, and it would be best if you could list them clearly for me to see.",0,neutral
1,22,"As a college student, I have to do a lot of assignments and join many activities, so can you as a computer program help me arrange all these messy things into a schedule? Please tell me what I should do at what time every day so I won't be late, and by the way, help me calculate exactly how much time I have each day for resting or going out to play.",0,neutral
1,23,"I am so happy today because I just checked and found out that I actually got the highest score on that very difficult math exam last week, even though I always thought I was bad at math. Im going to treat my whole dorm to a big meal to celebrate in a bit; can you be happy with me and help me think of some fun topics to make everyone laugh at the dinner table?",1,happy
1,24,"I finally received the internship offer letter from that company I really wanted to go to, and they said I can start working tomorrow to try it out, which is an opportunity I worked hard for several months to get. I feel so good right now that I even want to dance while walking; can you say some encouraging words to me in a very cheerful tone so I can have more confidence to go to work tomorrow?",6,surprise
1,25,"I am studying in another city alone and I really miss home, especially today since Im sick and have to line up at the clinic by myself without anyone to even hand me a cup of warm water. Looking at the photos of my parents on my phone makes me feel very sad; can you tell me what someone like me who left home for the first time should do to stop feeling so lonely every day?",2,sad
1,26,"I am really so angry at that lazy member of our group, as he clearly promised to finish his part and send it to me last night, but now when I message him, hes actually pretending not to see and isn't replying. There are only two hours left before the deadline, and now I have to write his part too; quickly help me think of how I can report him to the teacher so he doesn't get a grade for doing nothing?",3,angry
1,27,"I see many people online saying that AI will become very powerful and even take away all the jobs from us college students, which makes me feel like my hard work studying every day has no meaning. I am really scared that the day I graduate will be the day I become unemployed; can you honestly tell me what things you machines will never be able to learn or do instead of us in the future?",4,fearful
1,28,"I have to go on stage for that very important speech contest tomorrow, and just thinking about hundreds of students and teachers sitting down there staring at me makes my palms sweat and my legs shake. Im very afraid that Ill get nervous and forget all my prepared words; can you teach me some simple ways to stay calm so I don't embarrass myself in front of everyone tomorrow?",4,fearful
1,29,"The braised pork I ordered at the school cafeteria today was just terrible, it was full of fat and had a strange smell, and I wanted to spit it all out after just one bite. I really don't understand why stuff of this quality is sold to students; quickly help me write a message to the school complaint box to tell them to fix the cafeteria's hygiene and cooking standards.",5,disgust
1,30,"Theres a student in our dorm who never cleans up, and his desk is piled with moldy takeout boxes, and theres even a very bad smell drifting over to my bed, making me feel disgusted every day I go back. I really hate living in such a dirty environment, but I feel bad about arguing with him directly; can you teach me some indirect ways to make him clean up that pile of trash on his own?",5,disgust
1,31,"Oh my god! You actually remember a small habit I mentioned randomly so long ago; I just brought it up in passing, and I didn't expect you to immediately find our previous chat record to remind me. I always thought you were just a machine that answers questions, but I didn't expect your memory to be this good; how exactly do you store all these trivial things in that brain of yours?",6,surprise
1,32,"The campus is very quiet right now, and Im sitting alone on a bench by the sports field looking at the stars, feeling the cool evening breeze, and I feel very peaceful at this moment. I don't want to think about unfinished homework or deal with annoying socializing; can you just sit quietly with me for a while and tell me a short and warm little story to listen to?",7,calm
1,33,"Ive finished all my work for today and Im lying in bed listening to light music getting ready to sleep, feeling completely relaxed and not tired at all. Can you say a few words to me in a very gentle and slow voice, just like saying goodnight to me, so I can have a peaceful dream and wake up happily tomorrow morning?",7,calm
1,34,"I want you to help me write a piece of code that can automatically put the messy pictures on my computer into different folders based on the date, because moving them manually is just too tiring. After you finish writing, can you explain to me what each line of code is for, so that later if I want to change a small function myself, I can understand whats going on?",0,neutral
1,35,"Thank you so much! Following the interview tips you taught me before, I didn't stutter at all when facing the interviewers today, and they even praised me for being a young person with great ideas. I feel like Im flying right now and had to share this good news with you first; can you teach me a few more tips on how to get along with new colleagues after I start the job?",1,happy
1,36,"Why is it that even though I worked so hard to review and stayed in the library every day until it closed, my final results were still much worse than those classmates who only know how to play? I feel its so unfair and Im even starting to doubt if I was born stupider than others; can you tell me the truth, are there some things that really can't be gained just through hard work?",2,sad
1,37,"Ive been looking for a job in this city for over a month, but every resume I send out is like a stone sinking into the ocean with no reply, and the money left in my pocket is almost not enough for next month's rent. Im starting to doubt if my decision to stay in the big city was a mistake; can you help me see if theres a problem with my resume or if the direction Ive chosen is just wrong?",2,sad
1,38,"Why is the campus network down again? I was busy trying to grab elective courses for next semester, but at the last step, the page went blank and now all the classes I wanted are taken by others. I pay so much for the internet and get this garbage service; I really want to go to the IT office and have a big fight with them.",3,angry
1,39,"My new friend actually asked me to go to the library to study together today; when she messaged me I almost jumped off my chair in excitement, and my heart is still beating fast. I must perform well and try to have more communication with her; what should I wear and what snacks should I bring tomorrow?",6,surprise
1,40,"This is truly unbelievable; while I was flipping through an old newspaper just now, I found someone with the exact same name as mine, and his birthday and home address actually completely match mine too. I feel like Ive met myself from another parallel world; can you check your database for me to see who is she?",6,surprise
1,41,"I want you to help me carefully look at the elective course list for next semester, especially those classes that seem interesting but I don't know if they have too much homework. Can you help me search online for reviews from upperclassmen who took these classes in previous years? Id ideally like to know which course is easiest to get a high grade in without being so boring that it makes people want to sleep. Please list all this information so I can quickly decide which one to choose.",0,neutral
1,42,"I am seriously going crazy with anger at our group leader for this assignment; not only did he assign all the hardest tasks to me alone, but he also nags me every day in the group chat saying I'm working too slowly, which is just so unreasonable. He clearly did nothing himself, yet he went and told the teacher that the whole project relied on his direction. How can there be someone in this world with such a thick skin? Quickly help me think of a way to let the teacher know I did all the work without having to start a fight with him!",3,angry
1,43,"Lately, I've been seeing news about how AI might be secretly monitoring our lives, saying programs like you listen to our conversations or read our private journals in the background, and it gives me the creeps to think you're right here in my phone. I'm always worried that every word I say to you will end up being sent to some place I don't know and used by people for bad things. Can you honestly tell me exactly how you handle our personal information, and can I truly feel safe talking to you?",4,fearful
1,44,I'm lying alone on the grass in the middle of the sports field right now; there's no sound around me at all except for the occasional chirp of insects from afar. Watching the clouds drift slowly by in the sky makes me feel completely calm and without a single worry. I don't want to think about how many classes I have tomorrow or deal with those annoying little chores; I just want to stay here quietly for a while.,7,calm
1,45,"I just saw the list posted on the school's official website, and I actually won that highly competitive social practice scholarship, which means I don't have to work hard outside this summer to earn my tuition and can go home peacefully to spend time with my parents. I originally didn't have much hope, but seeing my name up there makes me feel that all those nights spent staying up late fixing my application were worth it. I am so happy! Can you help me think of what nice things I should buy to bring home to my parents?",1,happy
1,46,"When I was doing that big final presentation in front of the whole class this afternoon, I thought I would be so nervous that I wouldn't be able to say a word, but it turned out I spoke very smoothly and the teacher even praised me in front of everyone as the best presenter this semester! I wanted to tell you this good news as soon as I stepped off the stage; can you praise me loudly too, and by the way, help me think of how I should celebrate this rare great grade with my group members by going out for a big meal?",6,surprise
1,47,"I saw a post from my mom on my phone just now and realized that my family is celebrating my favorite festival at home, with the table full of my favorite braised fish and all kinds of snacks, but I can only sit alone in this cold dorm eating unnutritious instant noodles. My heart feels so empty and I really want to cry, and I keep wondering why I even came so far from home to study; can you talk with me for a bit so I feel like there's at least someone who can listen to my true feelings in this strange school?",2,sad
1,48,"Im sitting quietly in my dorm right now drawing a recruitment poster for my club, and I want to pick some colors that look very gentle and make people feel peaceful and comfortable at first glance, but I always feel like something is missing when I put these colors together. Can you stay here and help me think about it slowly, and just recommend some color combinations often seen in nature that make people want to stop and rest for a while, so I can make this poster as beautiful as I imagined?",0,neutral
1,49,"Ive noticed that some students in my class don't go to lectures at all, and as soon as a big assignment is due, they just copy and paste a bunch of random junk from the internet to trick the teacher, and even want me to lend them my homework to copy, which just totally disgusts me. Were all here to learn skills, so why are there always people who want to take these crooked shortcuts and even think this lazy method is smart? Can you help me think of some very strong words so I can reject that person once and for all when they ask for my homework again?",3,angry
1,50,"I wanted to ask if you could explain why we need the mosfet in the analog circuit design. I understand its an important concept, but Im still not very clear on what problem it actually solves or why we cant just use other components. It would really help if you could explain it in a simple and easy-to-understand way, and also clearly define any new terms you use so I can follow along better.",0,neutral
2,51,"I have an interview for an embedded engineer role next week.
But most of my past project work is about software.
I am worried the interviewer may think I am not a good match.
How should I explain my experience in a better way?
What skills should I highlight in my answer?
Can you help me prepare a simple self-introduction?",4,fearful
2,52,"I want to improve my CV before applying for more internships.
I feel that my experience looks a bit messy right now.
Some of my projects are related to hardware, but some are not.
I do not know what order I should put them in.
Should I change my CV for different jobs?
Can you help me make it look clearer and stronger?",7,calm
2,53,"I am going to rent a room in the UK for the first time.
I am an international student, so I do not know the process well.
I am worried about the contract and the deposit.
I also do not know what bills I may need to pay.
What should I check before signing anything?
Can you explain it to me in a simple way?",0,neutral
2,54,"I have a class presentation very soon.
Every time I speak in front of people, I get very nervous.
Sometimes my hands shake and my mind goes blank.
I know the content, but I still cannot relax.
What can I do before and during the presentation?
Can you give me some easy tips that really help?",4,fearful
2,55,"Recently I have been feeling stressed almost every day.
There are too many tasks, and I do not know where to start.
Even when I sit down to work, I cannot focus well.
At night I keep thinking about everything again.
How can I calm down and work more clearly?
Can you help me make a simple plan for this week?",2,sad
2,56,"I have been studying every day, but I still feel unproductive.
I spend a lot of time on work, but the results are not clear.
At the end of the day, I feel like I did not finish much.
This makes me doubt myself a little.
Am I working in the wrong way?
Can you help me find a better study routine?",2,sad
2,57,"I applied for many internships, but I have not received any replies yet.
At first I felt okay, but now I feel a bit sad.
I start to wonder if I am not good enough.
My friends are getting interviews, and I feel more anxious.
How should I deal with this feeling?
Can you give me some advice and encouragement?",2,sad
2,58,"I got an interview invitation today, and I was really surprised.
I did not expect to hear back from this company at all.
Now I feel happy, but also a little nervous.
I want to prepare well and make a good impression.
What should I do in the next few days?
Can you help me organize my preparation steps?",6,surprise
2,59,"I need to introduce myself in English at an interview.
I do not want it to sound too long or too formal.
I hope it sounds natural, clear, and confident.
I want to talk about my study, project, and interest in the role.
But I do not know how to connect these parts well.
Can you help me write a simple version?",4,fearful
2,60,"My landlord keeps ignoring my messages.
I have asked about a repair problem several times already.
The issue is still there, and it is affecting my daily life.
I feel angry, but I do not want to sound rude.
How can I write a firm but polite email?
Can you help me make it more formal?",3,angry
2,61,"I found a strange smell in the kitchen today.
It is not very strong, but it makes me feel uncomfortable.
I checked the bin, but the smell is still there.
I am not sure if it is coming from the sink or the fridge.
What could be causing this problem?
Can you tell me how to check it step by step?",0,neutral
2,62,"The takeaway I ordered today arrived very late.
By the time it came, the food was already cold.
Part of the order was wrong too.
I was very hungry, so I felt really upset.
Should I ask for a refund or just leave a review?
Can you help me write a complaint message?",3,angry
2,63,"I have a very important presentation tomorrow.
I know I should prepare, but I feel too nervous to start.
I keep thinking about what will happen if I do badly.
This makes me even more afraid.
How can I stop overthinking tonight?
Can you give me a simple plan for the next few hours?
I also want to know how to calm myself down right before I start speaking.
And is it okay to have notes with me during the presentation?",4,fearful
2,64,"My group project is finally finished.
I feel tired, but I also feel proud of myself.
We spent a lot of time fixing problems and changing the report.
Now I need to prepare the final presentation.
I want my script to sound smooth and natural.
Can you help me polish what I want to say?
I also want to know how to handle questions from the audience.
And how should I divide the speaking parts fairly with my teammates?",1,happy
2,65,"This group assignment was supposed to be done by everyone.
But in the end, I was the one doing most of the work.
I revised the report again and again by myself.
Now I feel angry and also a little unfairly treated.
How should I talk to my teammates about this?
Can you help me say it in a calm way?
I also want to know whether I should tell the professor about this.
And how can I avoid this kind of situation in future group projects?",3,angry
2,66,"I talked with an old friend on the phone today.
We had not spoken for a long time.
We shared many things that happened recently.
After the call, I felt much lighter and happier.
Why can a simple talk make me feel so much better?
Can you help me understand this feeling?
I also want to know how to keep in touch with old friends more regularly.
And what can I do when I miss someone but do not know what to say?",1,happy
2,67,"Lately, when I am alone, I often feel a little low.
Nothing especially bad has happened.
But sometimes I suddenly feel empty inside.
At those moments, I really want someone to talk to.
Why do I feel like this for no clear reason?
Can you give me some gentle advice?
I also want to know if this is something I should be worried about.
And what are some small things I can do to feel a little better on my own?",2,sad
2,68,"I want to become more confident when speaking English.
I can read and understand a lot, but speaking is still hard.
I often worry that my grammar is wrong.
Because of that, I speak very slowly and quietly.
How can I practice in a simple daily way?
Can you give me a plan that is easy to follow?
I also want to know how to get used to making small mistakes without feeling ashamed.
And are there any easy speaking habits I can build during daily life?",4,fearful
2,69,"I want to sound more natural in daily English conversation.
Sometimes my sentences are correct, but they still sound strange.
I think I may be translating directly from Chinese.
I want to speak in a more simple and common way.
How can I fix this problem?
Can you give me some useful examples?
I also want to know the most common phrases native speakers use every day.
And what kinds of expressions should I stop using because they sound too formal?",0,neutral
2,70,"I have been sleeping late for many days.
Even when I feel tired, I still keep using my phone.
Then the next morning, I cannot get up on time.
This affects my mood and my work a lot.
How can I build a healthier sleep routine?
Can you give me a small plan that I can start tonight?
I also want to know how to make myself put down the phone earlier.
And how long does it take for a new sleep habit to feel natural?",0,neutral
2,71,"I want to prepare for common embedded engineer interview questions.
I know they may ask about C, microcontrollers, and communication protocols.
But I do not know which topics are the most important.
I also want to know how deep I should study each part.
Can you help me organize the key points?
And can you give me some common questions to practice?
I also want to know how to answer if I do not know the answer clearly.
And what kind of projects look best on a resume for this type of role?",0,neutral
2,72,"I want to start reading more English every day.
But many articles feel too difficult for me.
When I see too many new words, I lose patience quickly.
I still want to improve in a steady way.
What kind of reading should I start with?
Can you recommend a simple daily method?
I also want to know how many new words I should try to learn each day.
And how do I remember new vocabulary without forgetting it quickly?",0,neutral
2,73,"I have a lot of things to do recently.
There is class work, job applications, and project practice.
I want to deal with them one by one in a calm way.
But right now everything feels mixed together.
How should I decide what to do first?
Can you help me sort them by priority?
I also want to know how to handle it when new tasks come in while I am still finishing old ones.
And what should I do when I feel like everything is equally urgent?",4,fearful
2,74,"I want to become better at giving presentations.
I think my content is usually okay.
But my voice sounds flat, and I do not make enough eye contact.
Sometimes I also speak too fast without noticing.
What can I practice to improve these problems?
Can you give me some simple training ideas?
I also want to know how to use pauses well when I am speaking.
And how can I make my slides support my speech without reading from them?",0,neutral
2,75,"I feel happy today because I finished something important.
I have been worried about it for a long time.
Now that it is done, I finally feel relaxed.
I want to enjoy this feeling, but I also want to stay focused.
How can I celebrate in a small but healthy way?
Can you give me a few nice ideas?
I also want to know how to smoothly move on to the next task after celebrating.
And how do I keep this good energy going into the next few days?",1,happy
2,76,"I want to ask my professor for advice about my future direction.
But I do not know how to start the conversation.
I worry that my questions may sound too vague.
I want to ask about study, projects, and career planning.
How should I organize my thoughts before talking to them?
Can you help me prepare a few questions?
I also want to know the best way to reach out, whether by email or in person.
And how should I follow up after the conversation?",4,fearful
2,77,"I recently started doubting whether I am capable enough.
When I see other people doing well, I feel pressure.
I know comparing myself too much is not good.
But it still happens again and again.
How can I stop thinking like this?
Can you help me build a healthier mindset?
I also want to know how to focus more on my own progress instead of others.
And what can I say to myself when these thoughts come back?",2,sad
2,78,"I want to be more disciplined in daily life.
I often make plans, but I do not follow them for long.
At first I feel motivated, then I slowly give up.
This happens with study, exercise, and sleep.
Why is it so hard for me to stay consistent?
Can you help me build habits in a realistic way?
I also want to know how to restart after I have already broken a habit.
And how do I make a habit feel easier so I do not want to quit?",0,neutral
2,79,"I need to send a follow-up email after an interview.
I want to sound polite and professional.
At the same time, I do not want to sound too formal or fake.
I just want to thank them and show my interest again.
What should I write in the email?
Can you help me make it short and natural?
I also want to know the best time to send it after the interview.
And what should I do if I do not hear back after sending it?",0,neutral
2,80,"I am trying to improve my spoken English for daily life.
I do not want to learn very difficult words first.
I want to start with common and useful expressions.
I also hope the sentences are easy to remember.
What should I practice every day?
Can you give me some examples for real situations?
I also want to know how to practice even when I do not have anyone to talk to.
And how do I know when my speaking is actually getting better?",0,neutral
2,81,"Sometimes I feel guilty when I rest.
Even when I am tired, I think I should keep working.
If I take a break, I feel like I am wasting time.
But when I do not rest, I become less efficient.
How can I change this way of thinking?
Can you help me see rest in a healthier way?
I also want to know what a good break actually looks like.
And how long should breaks be to feel refreshing rather than lazy?",2,sad
2,82,"I want to learn how to answer interview questions more clearly.
Sometimes I know what I want to say in my head.
But when I start speaking, my answer becomes messy.
I worry that I sound unprepared or not confident.
How can I make my answers more structured?
Can you teach me a simple speaking method?
I also want to practice with some common interview questions.
And how do I know when my answer is the right length?",0,neutral
2,83,"I want to start exercising again.
But after studying and working all day, I feel too tired.
Then I tell myself I will do it tomorrow.
But tomorrow often becomes next week.
How can I make exercise easier to start?
Can you give me a simple beginner plan?
I also want to know how to exercise even in a small room with no equipment.
And how do I stay motivated after the first few days?",2,sad
2,84,"I want to speak more confidently in meetings and discussions.
When other people talk fast, I become quiet.
Sometimes I have ideas, but I am afraid to say them.
I worry that my English is not good enough.
How can I become more active in conversations?
Can you give me some useful sentence starters?
I also want to know how to politely interrupt or join in when others are already talking.
And what should I do when I do not understand something someone said?",4,fearful
2,85,"I had a bad day today and I feel very tired inside.
Nothing was a huge disaster, but many small things went wrong.
Now I do not feel like doing anything else.
I just want to lie down and forget the whole day.
How can I comfort myself tonight?
Can you talk to me like a gentle friend?
I also want to know how to wake up tomorrow feeling a little better.
And how do I stop one bad day from ruining the rest of the week?",2,sad
2,86,"I want to improve my email writing in English.
Sometimes my emails are understandable, but they do not sound natural.
I am not sure how formal I should be.
I also worry about sounding too direct.
What are some common email phrases I should know?
Can you give me simple examples for study and work?
I also want to know how to write a good subject line.
And what is the best way to end an email politely?",0,neutral
2,87,"I am preparing for several things at the same time now.
There are interviews, course tasks, and personal plans.
Because of this, I often feel mentally tired.
Even when I finish one thing, I cannot fully relax.
How can I manage my energy better?
Can you help me balance work and rest?
I also want to know how to protect my focus when I have many things on my mind.
And how do I decide which thing to give the most attention to?",4,fearful
2,88,"I want to sound more positive when I talk about myself.
Sometimes I focus too much on my weaknesses.
Even when I have done something well, I do not mention it clearly.
I know this is not helpful in interviews.
How can I talk about myself in a more confident way?
Can you help me practice that?
I also want to know how to turn a weakness into something that sounds honest but still good.
And what phrases can help me sound confident without sounding arrogant?",0,neutral
2,89,"I often feel nervous before making important decisions.
I keep thinking about all the possible bad results.
Then I delay the decision for too long.
This makes me more stressed in the end.
How can I make decisions more calmly?
Can you teach me a simple way to think through them?
I also want to know how to deal with the worry that comes after making a decision.
And what should I do if I realize later that I made the wrong choice?",4,fearful
2,90,"I want to prepare better answers for behavioral interview questions.
Questions like teamwork, conflict, and failure make me nervous.
I have experiences to talk about, but I do not know how to present them well.
I want my answers to sound clear and real.
How should I structure these stories?
Can you help me prepare a few examples?
I also want to know how to make my answers feel natural and not memorized.
And how long should each answer be in an interview?",0,neutral
2,91,"Recently my mood changes quite easily.
Sometimes I feel okay during the day, but low at night.
When that happens, small problems also feel much bigger.
I know I may just be tired, but it still feels heavy.
What can I do when my mood drops like this?
Can you give me some simple coping ideas?
I also want to know how to tell if my mood swings are normal or something I should take more seriously.
And what daily habits might help make my mood more stable overall?",2,sad
2,92,"I need to talk to someone about a problem, but I do not know how to begin.
I am afraid the conversation may become awkward.
I also worry that I may sound too emotional.
But I do want to explain how I feel.
How can I start the conversation in a calm way?
Can you help me choose the right words?
I also want to know how to stay calm if the other person reacts in a way I do not expect.
And what should I do if the conversation does not go well?",4,fearful
2,93,"I want to get better at small talk in English.
When I meet new people, I do not know what to say first.
I can answer questions, but I am not good at keeping the conversation going.
Because of that, I often seem too quiet.
What are some easy topics and questions I can use?
Can you give me some natural examples?
I also want to know how to end a small talk conversation politely when I need to leave.
And what should I do when there is an awkward silence?",4,fearful
2,94,"I feel like I have too many thoughts in my head lately.
Even when I want to rest, my mind keeps moving.
I think about study, work, the future, and many small worries.
This makes me feel mentally crowded.
How can I clear my mind a little?
Can you suggest a simple habit for that?
I also want to know how to stop a worry spiral once it has already started.
And are there any quick techniques I can use before bed to wind down?",2,sad
2,95,"I want to become better at asking AI useful questions.
Sometimes I know my problem, but I cannot describe it clearly.
Then the answer I get is too general.
I want to ask in a smarter and more efficient way.
What should I include when I ask for help?
Can you teach me a simple question pattern?
I also want to know how to follow up if the first answer is not quite what I needed.
And how can I check whether the answer I got is actually reliable?",0,neutral
2,96,"I want to stop procrastinating so much.
I often wait until I feel pressure before I start.
But that makes the whole process more painful.
I know I would feel better if I began earlier.
Why do I keep doing this?
Can you help me break this habit step by step?
I also want to know how to make myself start even when I do not feel ready.
And what should I do when I fall back into the old pattern again?",2,sad
2,97,"I need to explain a technical project in simple English.
The listener may not know much about the topic.
I want my explanation to be clear and easy to follow.
I do not want to use too many difficult words.
How can I simplify the way I describe my project?
Can you help me make it more natural?
I also want to know how to handle questions if someone does not understand part of my explanation.
And how do I explain what I learned from the project in an interesting way?",0,neutral
2,98,"Sometimes I feel like I am trying very hard, but moving very slowly.
Other people seem to improve faster than me.
I know everyone has a different pace.
But I still feel frustrated when progress is not obvious.
How can I stay patient with myself?
Can you help me think in a kinder way?
I also want to know how to notice small progress that I might be ignoring.
And what can I do on the days when nothing feels like it is working?",2,sad
2,99,"I want to make my daily life more organized.
Right now I remember things only when they become urgent.
Because of that, I often feel rushed and messy.
I want to manage my tasks in a calmer way.
What simple tools or habits should I use?
Can you help me create a daily system?
I also want to know how to review my tasks at the end of each day without feeling stressed.
And how do I keep the system going when life gets very busy?",0,neutral
2,100,"I want to feel more hopeful about the future.
Recently there have been many small pressures in my life.
They are not huge problems, but they make me tired.
Sometimes I worry that I am falling behind.
How can I stay positive while still being realistic?
Can you say something that helps me feel stronger?
I also want to know how to enjoy where I am right now instead of always worrying about later.
And what is one small thing I can do today to feel a little more hopeful?",2,sad
3,101,"The neighbour next door plays loud music now, and it is really starting to bother me more than I expected. I was hoping to have a quiet evening so I could relax or focus on what I needed to do, but the noise keeps pulling my attention away. It is not just a little background sound either. It is loud enough to make me feel irritated and tense. I am not sure whether I should go and speak to them directly, wait for a while and hope it stops, or find some other way to deal with it without making the situation awkward.",3,angry
